File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0609_21_mesh_34.ply,50.636,89.09,10.422,3.446,3.706,
0609_05_mesh_7.ply,15.982,142.558,12.722,6.997,3.733,
0609_22_mesh_24.ply,37.667,65.908,5.507,4.091,3.768,
0609_20_mesh_22.ply,59.194,133.803,10.02,6.155,3.774,
0609_05_mesh_19.ply,4.031,155.474,10.154,7.997,3.779,
0609_22_mesh_16.ply,60.73,101.93,10.14,6.537,3.816,
0609_21_mesh_11.ply,116.777,168.486,12.957,5.618,3.847,
0609_21_mesh_24.ply,67.449,122.019,9.111,6.503,3.848,
0609_22_mesh_6.ply,59.798,89.741,6.339,5.9,3.872,
0609_21_mesh_21.ply,81.662,181.068,12.003,9.782,3.885,
0609_21_mesh_25.ply,57.71,87.406,7.866,3.964,3.902,
0609_20_mesh_4.ply,66.386,144.134,12.665,4.972,3.907,
0609_20_mesh_5.ply,151.128,220.657,22.122,4.464,3.92,
0609_16_mesh_4.ply,165.876,279.735,31.751,5.924,3.922,
0609_22_mesh_9.ply,66.913,128.145,8.711,5.978,3.956,
0609_20_mesh_17.ply,126.583,162.081,12.526,7.892,3.959,
0609_21_mesh_28.ply,191.224,230.34,18.036,5.518,3.994,
0609_05_mesh_9.ply,71.074,150.472,12.759,5.497,3.996,
0609_21_mesh_12.ply,102.517,161.123,15.865,3.783,4.017,
0609_21_mesh_27.ply,61.947,100.156,7.446,4.94,4.019,
0609_21_mesh_16.ply,133.439,176.513,14.32,5.706,4.026,
0609_18_mesh_5.ply,103.05,206.451,19.447,5.47,4.045,
0609_22_mesh_14.ply,61.772,95.833,7.547,4.888,4.055,
0609_22_mesh_10.ply,175.191,360.128,45.108,6.726,4.062,
0609_21_mesh_32.ply,110.693,184.129,16.899,4.467,4.106,
0609_22_mesh_21.ply,78.884,140.94,16.832,7.499,4.127,
0609_20_mesh_23.ply,241.288,292.434,23.59,5.616,4.151,
0609_22_mesh_33.ply,46.197,77.082,5.47,5.4,4.161,
0609_20_mesh_2.ply,164.16,335.344,29.385,9.394,4.175,
0609_21_mesh_22.ply,114.254,240.121,28.238,4.607,4.218,
0609_05_mesh_13.ply,70.726,259.355,10.872,17.45,4.224,
0609_21_mesh_10.ply,57.095,85.299,6.688,4.623,4.226,
0609_21_mesh_31.ply,35.772,183.047,10.457,7.42,4.243,
0609_22_mesh_30.ply,1.996,76.308,6.381,6.393,4.283,
0609_21_mesh_30.ply,87.341,204.316,13.608,9.456,4.289,
0609_21_mesh_35.ply,108.401,222.106,25.507,3.644,4.3,
0609_22_mesh_4.ply,110.148,167.703,17.426,5.685,4.343,
0609_21_mesh_36.ply,92.606,148.089,12.622,7.517,4.356,
0609_20_mesh_27.ply,22.693,137.709,11.013,6.27,4.36,
0609_22_mesh_3.ply,37.923,103.159,8.311,6.29,4.371,
0609_20_mesh_25.ply,73.924,103.741,7.236,5.597,4.381,
0609_20_mesh_26.ply,116.436,190.571,17.301,4.776,4.384,
0609_19_mesh_12.ply,126.076,226.464,22.193,4.868,4.398,
0609_18_mesh_6.ply,97.681,273.835,33.827,4.346,4.4,
0609_04_mesh_10.ply,272.011,309.646,22.141,6.322,4.419,
0609_21_mesh_2.ply,40.531,79.951,7.389,4.054,4.437,
0609_18_mesh_2.ply,315.013,528.235,44.482,11.855,4.454,
0609_05_mesh_25.ply,186.336,277.072,23.046,5.583,4.467,
0609_19_mesh_7.ply,185.48,318.421,24.199,7.849,4.487,
0609_20_mesh_32.ply,126.622,185.677,16.632,7.26,4.51,
0609_04_mesh_7.ply,112.152,194.835,13.127,7.184,4.55,
0609_21_mesh_20.ply,308.093,328.53,22.909,5.79,4.58,
0609_02_mesh_13.ply,291.847,410.682,31.426,8.799,4.596,
0609_20_mesh_9.ply,164.109,268.536,24.508,5.76,4.648,
0609_19_mesh_5.ply,287.435,330.824,24.587,6.496,4.705,
0609_02_mesh_10.ply,163.639,205.375,16.342,6.243,4.726,
0609_05_mesh_21.ply,58.281,294.09,21.971,10.628,4.808,
0609_19_mesh_9.ply,450.147,564.242,46.945,7.971,4.81,
0609_22_mesh_19.ply,105.957,144.712,10.727,5.686,4.814,
0609_05_mesh_17.ply,121.775,167.855,13.344,5.77,4.834,
0609_20_mesh_30.ply,338.371,415.033,28.679,11.517,4.896,
0609_20_mesh_1.ply,161.554,252.435,23.087,10.029,4.897,
0609_18_mesh_1.ply,376.293,525.956,46.065,9.009,4.898,
0609_04_mesh_5.ply,142.715,258.006,15.794,7.871,4.901,
0609_20_mesh_19.ply,214.584,289.615,25.782,8.774,4.928,
0609_17_mesh_14.ply,316.817,357.257,24.888,7.854,4.932,
0609_22_mesh_1.ply,252.828,334.865,21.508,6.596,4.97,
0609_21_mesh_7.ply,331.482,374.811,27.595,8.912,4.983,
0609_19_mesh_2.ply,279.942,371.795,21.452,6.12,4.99,
0609_17_mesh_9.ply,507.978,626.773,52.582,9.913,4.995,
0609_20_mesh_14.ply,146.789,177.672,10.708,5.647,5.002,
0609_20_mesh_12.ply,181.165,286.14,29.364,6.029,5.006,
0609_20_mesh_21.ply,89.915,177.24,16.652,7.837,5.013,
0609_17_mesh_6.ply,314.847,375.574,31.781,5.302,5.014,
0609_19_mesh_17.ply,241.748,336.349,30.635,8.637,5.016,
0609_04_mesh_3.ply,126.8,238.863,14.409,10.384,5.027,
0609_21_mesh_4.ply,143.544,206.765,18.234,6.61,5.04,
0609_05_mesh_10.ply,27.746,132.204,8.357,9.798,5.051,
0609_19_mesh_6.ply,251.064,282.016,20.178,7.635,5.078,
0609_21_mesh_14.ply,184.38,225.825,14.202,6.299,5.092,
0609_21_mesh_6.ply,245.142,248.035,16.561,5.661,5.129,
0609_19_mesh_15.ply,349.514,389.062,28.335,8.415,5.144,
0609_20_mesh_29.ply,293.149,296.431,19.278,5.569,5.152,
0609_01_mesh_4.ply,88.75,162.433,9.757,7.483,5.165,
0609_04_mesh_1.ply,206.611,246.23,14.258,8.154,5.229,
0609_04_mesh_21.ply,140.039,166.143,11.593,5.029,5.23,
0609_20_mesh_8.ply,111.759,150.487,10.91,4.644,5.253,
0609_20_mesh_10.ply,38.707,196.462,13.014,7.484,5.284,
0609_04_mesh_20.ply,232.902,353.502,24.104,5.569,5.309,
0609_17_mesh_4.ply,379.809,389.884,25.35,6.112,5.31,
0609_21_mesh_26.ply,241.816,234.054,12.673,6.266,5.327,
0609_04_mesh_15.ply,168.928,202.548,10.859,7.039,5.36,
0609_21_mesh_37.ply,220.161,247.211,14.148,6.633,5.363,
0609_17_mesh_10.ply,380.467,393.076,26.419,7.756,5.376,
0609_20_mesh_24.ply,155.166,216.428,12.954,7.762,5.386,
0609_17_mesh_2.ply,251.202,372.858,21.343,9.66,5.4,
0609_21_mesh_33.ply,203.264,226.119,14.401,5.44,5.423,
0609_04_mesh_24.ply,149.693,186.481,12.897,5.434,5.444,
0609_21_mesh_29.ply,134.772,281.065,18.905,10.252,5.491,
0609_21_mesh_1.ply,156.026,212.029,14.577,7.265,5.497,
0609_21_mesh_19.ply,135.113,162.372,11.833,5.594,5.509,
0609_21_mesh_18.ply,196.186,224.972,15.003,5.573,5.51,
0609_03_mesh_6.ply,277.062,331.84,18.424,11.063,5.566,
0609_04_mesh_17.ply,195.46,246.267,15.659,6.885,5.651,
0609_04_mesh_22.ply,6.461,340.637,23.377,8.829,5.658,
0609_04_mesh_11.ply,189.229,208.711,11.077,8.687,5.694,
0609_20_mesh_31.ply,374.322,344.851,20.87,7.414,5.726,
0609_17_mesh_15.ply,434.252,414.981,27.252,8.241,5.761,
0609_21_mesh_17.ply,149.474,158.132,6.96,6.803,5.811,
0609_22_mesh_5.ply,131.376,181.945,15.029,8.466,5.86,
0609_18_mesh_3.ply,200.217,793.949,88.26,9.171,5.871,
0609_20_mesh_15.ply,240.193,274.368,15.805,10.195,5.906,
0609_21_mesh_38.ply,166.975,195.958,12.247,5.322,5.933,
0609_17_mesh_16.ply,594.834,527.586,29.204,9.252,5.951,
0609_20_mesh_6.ply,258.631,430.197,43.129,9.322,5.951,
0609_04_mesh_13.ply,180.692,343.522,20.885,11.435,5.954,
0609_20_mesh_28.ply,217.338,267.487,22.325,8.944,5.969,
0609_04_mesh_9.ply,290.589,347.424,21.124,6.461,6,
0609_04_mesh_2.ply,296.085,294.99,17.492,7.553,6.017,
0609_15_mesh_12.ply,442.337,446.019,27.375,7.964,6.024,
0609_16_mesh_8.ply,533.433,510.051,31.211,7.757,6.053,
0609_17_mesh_8.ply,376.484,334.916,19.299,7.499,6.094,
0609_21_mesh_3.ply,348.177,354.11,18.424,9.263,6.097,
0609_17_mesh_5.ply,371.961,442.733,29.494,7.442,6.116,
0609_02_mesh_4.ply,185.434,200.929,11.958,6.686,6.148,
0609_02_mesh_6.ply,471.029,456.266,21.123,12.777,6.286,
0609_05_mesh_22.ply,366.282,340.026,17.397,8.453,6.317,
0609_01_mesh_8.ply,343.888,343.219,20.028,8.198,6.318,
0609_18_mesh_10.ply,550.047,564.626,28.615,10.806,6.319,
0609_15_mesh_11.ply,595.256,573.707,34.21,6.429,6.391,
0609_19_mesh_4.ply,969.784,823.215,49.195,7.416,6.526,
0609_19_mesh_8.ply,260.272,323.699,26.32,10.115,6.671,
0609_19_mesh_10.ply,387.745,362.155,15.125,11.916,6.672,
0609_02_mesh_12.ply,518.184,477.123,20.636,11.103,6.687,
0609_04_mesh_23.ply,507.151,533.644,29.505,8.677,6.71,
0609_17_mesh_12.ply,509.091,420.941,20.987,7.38,6.725,
0609_03_mesh_11.ply,305.348,485.049,24.197,12.609,6.767,
0609_18_mesh_13.ply,704.676,623.887,31.041,10.28,6.813,
0609_15_mesh_9.ply,1109.401,938.848,51.557,11.907,6.819,
0609_04_mesh_18.ply,627.146,527.309,24.083,11.278,6.89,
0609_17_mesh_7.ply,632.58,496.443,25.83,7.159,6.912,
0609_04_mesh_12.ply,359.586,310.495,13.57,9.485,6.965,
0609_15_mesh_3.ply,603.5,687.849,45.36,12.235,6.98,
0609_05_mesh_15.ply,208.247,196.766,8.831,7.569,7.112,
0609_18_mesh_8.ply,919.619,852.773,47.358,9.41,7.18,
0609_15_mesh_2.ply,1457.184,1253.978,67.023,11.204,7.204,
0609_18_mesh_11.ply,1048.081,884.005,43.486,8.603,7.217,
0609_19_mesh_14.ply,724.281,640.108,30.223,8.053,7.269,
0609_18_mesh_9.ply,1147.277,956.724,47.921,9.334,7.394,
0609_15_mesh_4.ply,1237.23,1145.057,66.386,15.777,7.5,
0609_04_mesh_4.ply,517.847,446.052,17.121,10.293,7.547,
0609_04_mesh_16.ply,279.202,256.742,10.727,8.199,7.588,
0609_02_mesh_2.ply,546.834,497.231,23.823,14.184,7.622,
0609_19_mesh_3.ply,218.555,224.223,11.549,7.814,7.625,
0609_02_mesh_14.ply,533.793,414.583,18.99,7.808,7.647,
0609_01_mesh_6.ply,1281.802,905.224,38.53,9.283,7.937,
0609_19_mesh_1.ply,589.734,691.65,44.304,12.192,7.996,
0609_15_mesh_8.ply,1139.988,903.243,41.062,14.454,8.111,
0609_03_mesh_10.ply,674.812,483.431,18.186,9.775,8.179,
0609_17_mesh_3.ply,1163.96,777.154,33.549,8.571,8.186,
0609_16_mesh_7.ply,1194.399,914.55,41.396,10.135,8.215,
0609_16_mesh_6.ply,1443.409,1261.136,56.179,13.145,8.33,
0609_19_mesh_11.ply,710.499,550.18,22.67,10.437,8.372,
0609_04_mesh_19.ply,587.898,464.425,20.91,8.893,8.393,
0609_17_mesh_11.ply,970.609,1052.838,73.954,18.694,8.706,
0609_02_mesh_5.ply,1677.143,1331.735,58.374,14.989,8.757,
0609_04_mesh_14.ply,887.021,588.031,21.141,10.837,8.812,
0609_03_mesh_1.ply,1105.529,749.186,27.037,12.859,8.83,
0609_03_mesh_8.ply,560.212,596.095,30.377,11.356,8.844,
0609_19_mesh_18.ply,1222.823,1005.445,57.149,8.008,8.976,
0609_04_mesh_8.ply,793.66,572.924,22.847,9.301,9.023,
0609_15_mesh_5.ply,1243.285,1001.158,54.881,15.194,9.127,
0609_17_mesh_1.ply,999.614,782.657,38.513,10.888,9.185,
0609_15_mesh_10.ply,1054.781,882.158,31.293,18.498,9.388,
0609_16_mesh_5.ply,2218.302,1333.451,51.196,12.975,9.428,
0609_16_mesh_3.ply,1858.279,1229.183,55.714,11.044,9.438,
0609_18_mesh_7.ply,1057.692,852.237,40.253,9.147,9.443,
0609_01_mesh_5.ply,2427.564,1442.125,49.279,13.256,9.635,
0609_03_mesh_2.ply,1467.603,895.075,29.427,10.762,9.667,
0609_15_mesh_7.ply,3050.052,1849.277,68.848,26.319,9.789,
0609_03_mesh_5.ply,1227.374,888.102,31.232,16.502,9.804,
0609_02_mesh_7.ply,1254.975,810.38,27.388,12.462,9.85,
0609_03_mesh_9.ply,3082.658,1738.746,59.194,12.528,10.105,
0609_18_mesh_12.ply,1322.351,1315.323,80.439,12.531,10.105,
0609_04_mesh_6.ply,1801.959,1112.943,39.812,12.26,10.134,
0609_17_mesh_13.ply,2282.289,1489.828,55.898,19.962,10.367,
0609_02_mesh_11.ply,766.255,551.037,15.338,10.675,10.486,
0609_03_mesh_4.ply,703.356,566.87,27.757,11.353,10.584,
0609_18_mesh_4.ply,2325.63,2393.58,144.38,20.489,10.646,
0609_03_mesh_3.ply,2702.179,1492.624,51.001,15.987,10.671,
0609_19_mesh_13.ply,1239.658,772.38,26.116,11.621,10.687,
0609_02_mesh_8.ply,1178.365,743.578,27.329,11.56,10.73,
0609_02_mesh_3.ply,1415.774,1031.668,37.428,11.904,10.758,
0609_15_mesh_6.ply,764.046,824.835,61.169,10.246,11.05,
0609_01_mesh_3.ply,1671.477,1201.896,37.129,25.05,11.093,
0609_15_mesh_1.ply,1867.618,1256.019,52.153,10.548,11.467,
0609_02_mesh_9.ply,1838.239,1171.772,41.385,13.815,12.17,
0609_03_mesh_7.ply,4071.059,2143.961,66.554,17.54,12.841,
0609_02_mesh_1.ply,1621.434,926.95,29.656,10.87,12.861,
0609_01_mesh_1.ply,5019.18,2572.978,72.845,23.465,13.345,
0609_01_mesh_7.ply,6884.611,2873.011,82.961,13.036,14.123,
0609_01_mesh_2.ply,2436.259,1806.567,88.196,15.261,14.356,
0609_19_mesh_16.ply,2070.376,1312.436,45.625,15.008,15.224,
0609_16_mesh_1.ply,6007.65,3692.432,135.409,17.087,16.486,
0609_16_mesh_2.ply,1724.405,2165.78,112.427,35.761,24.661,
